# Hall C HV Backup
# Backup created:	2019-04-15 08:24:37
# Comment:	
#
# Detector: HMS Hodo 1 X
# chid	group	crate	slot	channel
sShC07-R13	22	12	1	6
sShC08-R13	22	12	1	7
sShC01-R13	22	12	1	0
sShC02-R13	22	12	1	1
sShC13-R15	22	11	3	12
sShC04-R13	22	12	1	3
sShC04-R16	22	11	2	3
sShC09-R13	22	12	1	8
sShC10-R13	22	12	1	9
sShC09-R16	22	11	2	8
sShC10-R16	22	11	2	9
sShC13-R14	22	12	0	12
sShC14-R14	22	12	0	13
sShC11-R14	22	12	0	10
sShC12-R14	22	12	0	11
sShC05-R14	22	12	0	15
sShC14-R15	22	11	3	13
sShC08-R16	22	11	2	7
sShC04-R15	22	11	3	3
sShC05-R16	22	11	2	4
sShC11-R15	22	11	3	10
sShC12-R15	22	11	3	11
sShC02-R16	22	11	2	1
sShC06-R16	22	11	2	14
sShC10-R15	22	11	3	9
sShC09-R15	22	11	3	8
sShC12-R16	22	11	2	11
sShC01-R16	22	11	2	0
sShC14-R16	22	11	2	13
sShC13-R16	22	11	2	12
sShC14-R13	22	12	1	13
sShC13-R13	22	12	1	12
sShC12-R13	22	12	1	11
sShC11-R13	22	12	1	10
sShC03-R15	22	11	3	2
sShC07-R15	22	11	3	6
sShC03-R13	22	12	1	15
sShC05-R15	22	11	3	4
sShC02-R14	22	12	0	1
sShC01-R14	22	12	0	0
sShC04-R14	22	12	0	3
sShC03-R14	22	12	0	2
sShC06-R14	22	12	0	5
sShC08-R14	22	12	0	7
sShC07-R14	22	12	0	6
sShC10-R14	22	12	0	9
sShC09-R14	22	12	0	8
sShC02-R15	22	11	3	1
#
# Detector: SHMS Drift Chambers
# chid	group	crate	slot	channel
DC1_cathode	10	1	3	7
DC2_cathode	10	1	3	9
#
